item_id,title,description,url,brand,seller_name,image_url,availability,price,is_eligible_search,condition,accepts_returns,return_deadline_in_days,return_policy,target_countries,store_country,product_category,is_ads_eligible
EM000005344,Brazil Budh Ratna 7.5 Carats,Brazil Budh Ratna 7.5 Carats,https://www.preciouscarats.com/products/em000005344?variant=62374549422450&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122087_FRONT.png?v=1789767708,in_stock,37600.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005343,Brazil Budh Ratna 5.2 Carats,Brazil Budh Ratna 5.2 Carats,https://www.preciouscarats.com/products/em000005343?variant=62374547718514&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122086_FRONT.png?v=1789767649,in_stock,39100.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005342,Brazil Budh Ratna 7.02 Carats,Brazil Budh Ratna 7.02 Carats,https://www.preciouscarats.com/products/em000005342?variant=62374546506098&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122085_FRONT.png?v=1789767590,in_stock,35200.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005341,Brazil Budh Ratna 5.39 Carats,Brazil Budh Ratna 5.39 Carats,https://www.preciouscarats.com/products/em000005341?variant=62374545817970&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122082_FRONT.png?v=1789767532,in_stock,24300.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005340,Brazil Budh Ratna 6.94 Carats,Brazil Budh Ratna 6.94 Carats,https://www.preciouscarats.com/products/em000005340?variant=62374544572786&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122080_FRONT.png?v=1789767477,in_stock,41750.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005339,Brazil Budh Ratna 5.38 Carats,Brazil Budh Ratna 5.38 Carats,https://www.preciouscarats.com/products/em000005339?variant=62374543917426&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122079_FRONT.png?v=1789767420,in_stock,26950.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005338,Brazil Budh Ratna 11.71 Carats,Brazil Budh Ratna 11.71 Carats,https://www.preciouscarats.com/products/em000005338?variant=62374542672242&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122073_FRONT.png?v=1789767361,in_stock,82150.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005337,Brazil Budh Ratna 8.11 Carats,Brazil Budh Ratna 8.11 Carats,https://www.preciouscarats.com/products/em000005337?variant=62374542279026&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122072_FRONT.png?v=1789767298,in_stock,40650.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005334,Brazil Budh Ratna 6.03 Carats,Brazil Budh Ratna 6.03 Carats,https://www.preciouscarats.com/products/em000005334?variant=62374541885810&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122066_FRONT.png?v=1789767234,in_stock,33250.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
EM000005333,Brazil Budh Ratna 7.56 Carats,Brazil Budh Ratna 7.56 Carats,https://www.preciouscarats.com/products/em000005333?variant=62374541230450&utm_source=openai&utm_medium=product_feed,Precious Carats,Precious Carats,https://cdn.shopify.com/s/files/1/0969/5848/0754/files/ITLGR_122065_FRONT.png?v=1789767166,in_stock,37900.00 INR,true,new,true,10,https://www.preciouscarats.com/pages/returns-and-exchange-policies,IN,IN,Apparel & Accessories > Jewelry,true
